City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
dezful,0,IR,1552755841,70,32.38,58.47,7.43,48.4
uzhur,0,RU,1552755842,69,55.32,21.89,8.21,89.85
talnakh,0,RU,1552755842,41,69.49,-13.8,2.62,88.39
huarmey,24,PE,1552755842,59,-10.07,80.03,4.07,-78.15
am timan,0,TD,1552755842,16,11.04,88.67,7.09,20.28
prince rupert,90,CA,1552752000,87,54.32,44.6,11.41,-130.32
codrington,90,AU,1552755728,94,-28.95,69.8,2.51,153.24
kamenka,88,RU,1552754958,77,53.19,32.0,11.45,44.05
tessalit,0,ML,1552755843,14,20.2,85.2,6.08,1.01
magadan,68,RU,1552755843,100,59.56,11.27,14.7,150.8
alakurtti,92,RU,1552755426,96,66.96,30.99,4.52,30.34
sabang,92,PH,1552755844,90,13.72,77.82,10.22,123.58
port-gentil,20,GA,1552752000,62,-0.72,86.0,4.7,8.78
vidim,75,CZ,1552755838,81,50.47,52.0,17.22,14.53
kaura namoda,24,NG,1552755845,19,12.59,89.84,8.77,6.58
upata,8,VE,1552755845,32,8.02,93.62,10.22,-62.41
shubarkuduk,76,KZ,1552755845,64,49.15,33.32,14.7,56.49
antalaha,24,MG,1552755845,91,-14.9,78.45,7.87,50.28
harper,75,US,1552755794,30,30.3,57.0,13.87,-99.24
santa ana,0,SV,1552751400,42,13.99,82.4,11.41,-89.56
gat,0,SN,1552753800,14,14.69,91.4,12.75,-16.54
maniwaki,76,CA,1552755848,59,46.38,28.73,9.89,-75.98
alamogordo,75,US,1552755802,44,32.9,45.0,8.05,-105.96
kiunga,88,PG,1552755848,96,-6.12,71.03,2.17,141.3
sobolevo,92,RU,1552755849,90,54.43,34.94,4.74,31.9
west lafayette,40,US,1552755302,55,40.43,39.2,11.41,-86.91
gigmoto,88,PH,1552755849,100,13.78,78.45,11.79,124.39
katobu,68,ID,1552755849,100,-4.94,75.03,2.62,122.53
wanning,90,AT,1552755794,62,48.64,55.4,9.17,13.53
shahrud,0,IR,1552755705,79,36.42,32.82,2.39,54.97
dubti,0,ET,1552755850,44,11.74,79.04,3.51,41.09
veraval,20,FR,1552755759,58,49.65,57.2,23.04,0.71
visnes,75,NO,1552755725,86,59.36,42.8,8.05,5.22
helena,1,US,1552755679,79,46.59,33.01,3.36,-112.04
padang,20,ID,1552752000,88,-0.92,80.6,2.24,100.36
nioro,0,GM,1552755851,15,13.79,100.73,5.75,-15.05
lere,44,TD,1552755851,19,9.66,91.1,7.99,14.23
barstow,40,US,1552755726,39,31.46,52.0,13.87,-103.39
birin,88,SY,1552755852,96,35.01,47.63,14.7,36.67
saint-joseph,90,FR,1552755657,77,43.56,62.6,6.93,6.97
nemuro,92,JP,1552755853,95,43.32,32.73,6.2,145.57
marsaxlokk,20,MT,1552755713,77,35.84,59.0,16.11,14.54
ovre ardal,64,NO,1552755853,82,61.32,21.03,1.95,7.8
moron,8,VE,1552755854,51,10.49,86.33,3.96,-68.2
young,56,UY,1552755840,53,-32.7,86.0,1.99,-57.63
touros,40,BR,1552752000,70,-5.2,86.0,10.29,-35.46
bela,0,PK,1552755854,53,26.23,56.54,1.95,66.31
villa juarez,75,MX,1552755735,63,27.13,66.0,5.19,-109.84
qinhuangdao,0,CN,1552755855,69,39.94,22.52,2.06,119.59
quatre cocos,40,MU,1552755847,74,-20.21,82.4,1.12,57.76
aldan,68,RU,1552755855,83,58.61,14.15,2.39,125.39
itupiranga,75,BR,1552752000,62,-5.13,89.6,5.82,-49.33
kogon,0,UZ,1552753800,59,39.73,64.4,6.93,64.54
berlevag,0,NO,1552755856,100,70.86,26.52,13.02,29.09
arman,64,RU,1552755856,74,59.7,-0.93,2.73,150.17
pacific grove,1,US,1552755705,44,36.62,63.0,3.36,-121.92
northam,75,GB,1552755725,93,51.04,53.01,23.04,-4.21
patitirion,40,GR,1552755000,50,39.15,57.2,10.89,23.87
paka,0,HR,1552753800,62,45.29,53.6,6.93,18.06
finnsnes,80,NO,1552755703,67,69.23,28.4,20.8,17.98
paratinga,48,BR,1552755857,48,-12.69,92.22,3.18,-43.18
ozernovskiy,76,RU,1552755857,86,51.5,16.08,1.39,156.52
hulan ergi,0,CN,1552755858,50,47.2,20.67,5.64,123.63
lac du bonnet,20,CA,1552755609,64,50.25,21.99,5.01,-96.06
kautokeino,0,NO,1552755858,72,69.01,10.95,4.07,23.04
rio muerto,75,MX,1552750980,63,27.42,62.6,4.97,-110.23
kungurtug,0,RU,1552755858,65,50.6,9.78,4.18,97.53
rancho palos verdes,1,US,1552755836,19,33.75,73.0,5.41,-118.37
morro bay,1,US,1552755545,62,35.37,73.99,4.7,-120.85
turayf,0,SA,1552752000,62,31.68,51.8,17.22,38.65
bom jesus,40,BR,1552752000,70,-5.99,87.8,10.29,-35.58
hirna,80,ET,1552755860,44,9.22,69.77,2.39,41.1
gravdal,75,NO,1552755725,86,59.79,41.0,8.05,5.78
sayyan,80,YE,1552755860,80,15.17,58.02,1.83,44.32
rock hill,1,US,1552755854,30,34.92,55.99,3.36,-81.03
petropavlovsk-kamchatskiy,0,RU,1552752000,78,53.05,8.6,4.47,158.65
toora-khem,80,RU,1552755861,75,52.47,19.73,2.84,96.11
mae hong son,0,MM,1552755861,77,19.3,67.92,1.05,97.96
qaqortoq,75,GL,1552751400,45,60.72,24.8,3.36,-46.03
saint-leu,0,RE,1552755706,74,-21.15,78.8,3.36,55.28
ouango,0,CD,1552755862,82,4.31,74.18,1.95,22.55
naze,75,NG,1552752000,78,5.43,82.4,2.24,7.07
lima,0,PE,1552755731,69,-12.06,78.8,4.7,-77.04
san policarpo,92,PH,1552755863,92,12.18,78.68,15.82,125.51
noumea,90,NC,1552753800,88,-22.28,75.2,3.36,166.46
linxia,80,CN,1552755863,75,35.6,25.22,1.95,103.21
la macarena,36,CO,1552755863,51,2.18,89.39,2.95,-73.79
vestmannaeyjar,75,IS,1552752000,93,63.44,37.4,17.22,-20.27
kununurra,68,AU,1552753800,83,-15.77,82.4,8.05,128.74
southbridge,90,US,1552755663,41,42.08,50.0,21.92,-72.03
parkes,68,AU,1552754991,77,-33.14,64.99,5.41,148.18
high level,5,CA,1552752000,62,58.52,19.4,3.36,-117.13
malabon,20,PH,1552755816,65,14.68,80.6,9.17,120.96
lebowakgomo,0,ZA,1552753800,38,-24.3,75.2,4.7,29.54
ust-tarka,68,RU,1552755865,89,55.56,21.57,14.14,75.71
akola,0,IN,1552755636,59,20.71,70.53,8.66,77.0
paita,40,PE,1552752000,290,-5.09,62.6,3.36,-81.11
honningsvag,0,NO,1552755865,99,70.98,28.23,18.61,25.97
victoria point,90,AU,1552755865,100,-27.58,70.0,4.7,153.3
straumen,0,NO,1552755664,69,63.87,39.0,5.82,11.3
jupiter,75,US,1552755672,83,26.93,81.0,7.54,-80.09
bayir,0,TR,1552755000,57,37.27,54.0,8.05,28.22
jiayuguan,68,CN,1552755866,63,39.77,25.8,5.97,98.29
porkhov,80,RU,1552752000,93,57.77,35.6,4.47,29.55
macon,90,US,1552755650,43,32.84,55.0,6.93,-83.63
ugoofaaru,92,MV,1552755867,98,5.67,84.12,12.68,73.0
hovd,0,NO,1552755841,69,63.83,39.0,5.82,10.7
puerto escondido,5,MX,1552750800,51,15.86,86.0,3.36,-97.07
